2025-01-13 10:09:00,025 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:09:00,025 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model1.decode, time enabled: True, precision enabled: True
2025-01-13 10:09:00,025 | perf_monitor.time | DEBUG | Started timing collection for inference/model1.decode_1
2025-01-13 10:09:00,025 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:09:00,025 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model1.decode
2025-01-13 10:09:00,032 | perf_monitor.precision | DEBUG | Started precision collection for inference/model1.decode_1
2025-01-13 10:09:00,032 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:09:00,032 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model1.decode
2025-01-13 10:09:00,032 | perf_monitor.manager | DEBUG | Starting monitoring for postprocessing/decode, time enabled: True, precision enabled: False
2025-01-13 10:09:00,032 | perf_monitor.time | DEBUG | Started timing collection for postprocessing/decode_1
2025-01-13 10:09:00,032 | perf_monitor.time | DEBUG | Started monitoring block - Stage: postprocessing, Tag: decode_1
2025-01-13 10:09:00,032 | perf_monitor.manager | DEBUG | Started timing collection for stage: postprocessing, tag: decode
2025-01-13 10:09:00,038 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,038 | perf_monitor.time | DEBUG | Ended timing collection for postprocessing/decode_1, elapsed: 0.006571s
2025-01-13 10:09:00,038 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: postprocessing, Tag: decode_1
2025-01-13 10:09:00,039 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model1.decode_1
2025-01-13 10:09:00,039 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model1.decode_1
